symbol,close,date,high,low,month,open,volume,daily_return,cumulative_return
APOLLOHOSP,6207.6,2024-06-14 05:30:00,6219.95,6175.0,2024-06,6210.0,216573,0.0002255808707423146,1.2126705672061662
APOLLOHOSP,6236.35,2024-06-18 05:30:00,6249.8,6166.2,2024-06,6225.0,267887,0.0046314195502288324,1.2182869533791119
APOLLOHOSP,6173.55,2024-06-19 05:30:00,6269.0,6128.05,2024-06,6265.0,401714,-0.0100699928644159,1.2060188124517732
APOLLOHOSP,6175.85,2024-06-20 05:30:00,6193.7,6115.75,2024-06,6165.7,252844,0.000372557118675676,1.206468123345609
APOLLOHOSP,6170.0,2024-06-21 05:30:00,6239.1,6145.0,2024-06,6152.2,434583,-0.000947238032011799,1.2053253108547661
APOLLOHOSP,6259.55,2024-06-24 05:30:00,6295.0,6156.15,2024-06,6170.0,357273,0.014513776337115036,1.2228191328299758
APOLLOHOSP,6295.35,2024-06-25 05:30:00,6315.0,6242.25,2024-06,6258.0,348730,0.005719260969239137,1.2298127545688091
APOLLOHOSP,6136.8,2024-06-26 05:30:00,6285.65,6125.0,2024-06,6279.8,538411,-0.02518525578403108,1.1988396057785298
APOLLOHOSP,6192.5,2024-06-27 05:30:00,6200.4,6055.0,2024-06,6115.75,440975,0.00907639160474516,1.209720743511854
APOLLOHOSP,6185.7,2024-06-28 05:30:00,6222.5,6145.15,2024-06,6222.5,334692,-0.0010981025433992597,1.2083923460866008
APOLLOHOSP,6140.5,2024-07-01 05:30:00,6180.0,6108.45,2024-07,6180.0,374933,-0.007307176229044421,1.1995624102599176
APOLLOHOSP,6097.6,2024-07-02 05:30:00,6163.75,6077.0,2024-07,6134.75,436037,-0.006986401758814376,1.19118178532707
APOLLOHOSP,6192.7,2024-07-03 05:30:00,6217.75,6079.05,2024-07,6132.25,188203,0.015596300183678746,1.2097598140243615
APOLLOHOSP,6225.05,2024-07-04 05:30:00,6244.0,6161.0,2024-07,6200.95,222050,0.005223892647794992,1.2160794694224413
